src,dst
94,9739
94,10892
94,13781
94,15585
94,18797
94,18995
94,20984
94,26973
94,29375
94,29495
94,30514
94,33923
95,6688
95,7917
95,12630
95,18154
95,31392
95,31808
96,8596
96,31854
97,3877
97,9364
97,15228
98,1831
98,3218
98,4622
98,5687
98,6430
98,8685
98,8966
98,12257
98,13807
98,15064
98,15263
98,17837
98,21428
98,22025
98,23052
98,23320
98,28294
98,30318
98,32111
98,33735
98,33898
99,1091
99,5038
99,12082
99,12188
99,16989
99,25409
99,26193
99,26909
100,537
100,3079
100,3172
100,6458
100,6538
100,9895
100,12212
100,13489
100,14382
100,18700
100,18884
100,19936
100,21816
100,23249
100,23866
100,24249
100,25594
100,25938
100,28394
100,28420
100,33821
101,377
101,748
101,4659
101,8508
101,9083
101,11800
101,23948
101,33521
102,136
102,531
102,1153
102,2579
102,8806
102,9487
102,11651
102,13501
102,14479
102,15549
102,16215
102,19887
102,25591
102,28456
102,30316
102,31036
102,31383
102,31909
102,34107
103,5645
103,6248
103,6818
103,11131
103,18853
103,24542
103,29400
104,545
104,1472
104,5093
104,8875
104,13396
104,14125
104,18012
105,6717
105,11963
105,13080
105,13725
105,17729
105,18376
105,18412
105,19201
105,19640
105,21700
105,21978
105,22694
105,24078
105,25646
105,29895
105,31908
105,33214
106,5057
106,16297
106,20917
106,29530
107,200
107,851
107,5117
107,7968
107,11361
107,12143
107,14615
107,22229
107,22841
107,23134
107,23643
107,23824
107,24911
107,24958
107,26612
107,26702
107,28191
107,29830
108,383
108,2164
108,2406
108,4696
108,7948
108,8998
108,9220
108,9984
108,16826
108,28287
109,6749
109,19475
110,249
110,293
110,2371
110,3560
110,4194
110,4630
110,6243
110,7015
110,7128
110,7887
110,11136
110,11149
110,13893
110,14354
110,14425
110,14700
110,15455
110,17641
110,17904
110,18383
110,23170
110,23451
110,23635
110,25566
110,27509
111,3217
111,4112
111,8396
111,13907
111,14173
111,33695
112,20157
112,23411
112,25957
113,614
113,4552
113,11666
113,13326
113,19302
113,23278
113,25478
113,25489
114,1619
114,9052
114,9511
114,10730
114,10856
114,12289
114,12788
114,16604
114,16817
114,20839
114,21608
114,21885
114,22479
114,24593
114,24918
114,25571
114,26085
114,28401
114,29214
114,29903
114,29917
114,34307
115,645
115,1594
115,14132
115,15357
115,26755
115,29520
116,536
116,849
116,5057
116,5812
116,9619
116,10620
116,10971
116,11338
116,13682
116,14399
116,17204
116,17228
116,21440
116,21518
116,24190
116,24914
116,26453
116,26950
116,29341
116,29837
116,29852
116,32886
117,7301
117,19442
117,22053
117,28738
118,1039
118,6678
118,7212
118,8692
118,11889
118,12640
118,14223
118,16006
118,20493
118,23633
118,27837
118,28453
118,28714
118,29821
119,1345
119,8041
119,9985
119,11078
119,15627
119,15901
119,16021
119,18489
119,19873
119,28196
120,753
120,1397
120,3358
120,7763
120,8687
120,17143
120,17597
121,304
121,318
121,670
121,832
121,1906
121,6565
121,10937
121,15379
121,15385
121,19770
121,27273
121,28301
121,29843
122,1177
122,2793
122,10081
122,11797
122,13125
122,13301
122,15401
122,18175
122,19862
122,24636
123,3579
123,5764
123,18827
123,21054
123,30162
123,31323
124,609
124,1137
124,2548
124,2673
124,2804
124,3134
124,3792
124,5778
124,7607
124,8161
124,8646
124,10349
124,11566
124,12593
124,16006
124,17496
124,22637
124,26177
124,32926
125,4001
125,12022
125,12106
125,15463
125,24348
126,5301
126,7679
126,22649
126,28511
126,33308
127,6
127,2465
127,3054
127,4317
127,4872
127,5161
127,7297
127,8265
127,8339
127,8806
127,9039
127,9280
127,11666
127,12450
127,13304
127,13373
127,13577
127,13912
127,13974
127,14807
127,16586
127,17510
127,18729
127,18999
127,22052
127,22220
127,22494
127,24382
127,24881
127,26753
127,27463
127,27929
127,32377
127,32536
127,33968
128,814
128,2374
128,2509
128,3347
128,3355
128,3923
128,4201
128,4359
128,4367
128,4642
128,5259
128,5905
128,6294
128,6425
128,6860
128,6985
128,7389
128,8048
128,8599
128,10171
128,10361
128,10417
128,10571
128,10921
128,13444
128,14386
128,14476
128,14759
128,14894
128,15237
128,15285
128,16229
128,16301
128,16473
128,18164
128,19001
128,20316
128,20661
128,20918
128,21106
128,21328
128,21377
128,21476
128,21500
128,21930
128,23469
128,23816
128,24010
128,26504
128,27517
128,27919
128,28359
128,29829
128,30881
128,31014
128,31058
128,31114
128,33012
128,34046
129,589
129,601
129,3434
129,3507
129,4099
129,8308
129,11777
129,16025
129,23531
129,23556
129,25396
129,28056
129,28571
130,3257
130,4262
130,4751
130,4834
130,6107
130,6839
130,9074
130,9566
130,9775
130,13138
130,13269
130,17081
130,18548
130,18700
130,20392
130,20400
130,20770
130,23409
130,23597
130,25535
130,25700
130,25953
130,26305
130,28148
130,29300
130,29917
130,30269
130,31108
130,32900
130,33078
131,4131
131,15588
131,19002
131,23415
131,23870
131,26528
131,27533
132,1757
132,2627
132,6737
132,16157
132,25780
133,4257
133,4378
133,7125
133,8833
133,11859
133,13544
133,18856
133,20374
133,21116
133,21418
133,21580
133,24886
133,28747
133,29443
133,30447
133,31327
134,1333
134,3469
134,4279
134,5662
134,6931
134,9611
134,10124
134,10133
134,11658
134,13060
134,14487
134,15714
134,17185
134,18968
134,19424
134,20963
134,21697
134,23891
134,27661
134,27850
134,29133
134,31265
134,32138
134,33612
135,3396
135,11758
135,12416
135,13013
135,15692
135,18369
135,22633
136,59
136,102
136,164
136,558
136,1153
136,1332
136,1420
136,1904
136,4134
136,4216
136,4377
136,4615
136,5139
136,6196
136,6304
136,7315
136,7435
136,7612
136,8440
136,8806
136,8855
136,9387
136,9532
136,10052
136,10129
136,10157
136,10406
136,11302
136,11666
136,12276
136,13422
136,13602
136,13632
136,13783
136,14479
136,14577
136,14760
136,14943
136,16066
136,16215
136,16691
136,16927
136,18521
136,19154
136,19962
136,20600
136,20663
136,21019
136,22011
136,22921
136,23015
136,23474
136,25461
136,25591
136,26127
136,27950
136,28210
136,29269
136,30316
136,30357
136,30543
136,31036
136,31222
136,31321
136,31383
136,33091
136,33342
136,33672
136,33943
137,1307
137,4308
137,20396
138,1195
138,1411
138,3465
138,4331
138,5057
138,6205
138,6639
138,8019
138,13565
138,13655
138,15925
138,17490
138,19500
138,26652
138,28368
138,30837
138,31005
138,31549
138,34358
139,3592
139,4526
139,4669
139,5217
139,6035
139,9498
139,9623
139,11768
139,11827
139,13465
139,15171
139,15514
139,19648
139,21758
139,25531
139,26515
139,29383
139,29706
139,29748
139,31696
140,212
140,771
140,9658
141,1196
141,3005
141,3837
141,4170
141,11506
141,13027
141,15593
141,15918
141,17397
141,20790
141,22135
141,23791
141,27527
141,29740
141,34086
142,3483
142,4662
142,6091
142,8257
142,30225
142,32023
143,794
143,802
143,2018
143,3427
143,5032
143,9625
143,12627
143,14787
143,15086
143,15588
143,16402
143,18070
143,18370
143,21184
143,21548
143,21953
143,23095
143,23137
143,27791
143,28014
143,28248
143,28739
143,28963
143,29239
143,31057
143,33908
143,33925
143,34206
143,34207
143,34292
144,4363
144,4559
144,5794
144,10506
144,11995
144,12313
144,17402
144,18692
144,20638
144,30731
144,30776
145,3159
145,5622
145,5986
145,7705
145,8447
145,13098
145,13989
145,16820
145,17743
145,21267
145,22686
145,24111
145,24989
145,25291
145,26643
145,28349
145,29190
145,34016
146,8860
146,13027
146,16584
146,18809
146,27229
147,548
147,6591
147,12077
147,15622
147,16078
147,17148
147,20283
147,24254
148,2733
148,3116
148,4302
148,5655
148,10779
148,13690
148,14288
148,23783
148,24111
148,24560
148,29566
148,30616
148,31581
148,34273
149,361
149,671
149,1244
149,1522
149,3031
149,3235
149,3474
149,5986
149,6294
149,15795
149,16112
149,21082
149,28349
149,30054
150,299
150,708
150,1424
150,2203
150,6688
150,8682
150,10336
150,10433
150,12346
150,14835
150,16004
150,17768
150,22724
150,22887
150,24636
150,26938
150,30201
151,760
151,5869
151,15970
152,6
152,6166
152,7283
152,14807
152,24037
152,26047
152,29295
153,372
154,6680
155,409
155,3409
155,4865
155,9548
155,10435
155,27975
155,32204
155,34228
156,5850
156,7708
156,9776
156,10894
156,13416
156,14134
156,16305
156,17223
156,21577
156,22129
156,25899
156,26558
157,21232
157,23084
158,28
158,577
158,2383
158,4751
158,7418
158,9775
158,12365
158,12650
158,12820
158,14902
158,15333
158,15744
158,19187
158,19958
158,22918
158,23054
158,23953
158,24551
158,25700
158,28460
158,29075
158,29917
158,30448
158,33019
158,34004
159,249
159,5026
159,7020
159,12769
159,24934
159,32568
160,1587
160,4233
160,21187
160,26136
161,2585
161,8860
161,18800
161,29198
161,29480
161,34263
162,14073
162,29997
163,3817
163,4789
163,25860
163,30469
163,31605
163,32230
164,136
164,1235
164,3607
164,4317
164,9397
164,9933
164,12208
164,12561
164,12896
164,14479
164,17373
164,27510
164,29254
164,30316
164,30357
164,33943
165,1612
165,1714
165,4509
165,29410
166,1197
166,6707
166,9016
166,14507
166,15677
166,19834
166,20383
166,30266
166,34184
167,5906
167,20363
167,26527
167,32260
168,3632
168,15071
168,24106
169,233
169,894
169,16094
169,20854
169,21016
169,24706
169,26318
169,27380
169,28675
169,31840
169,32711
170,204
170,460
170,3895
170,7667
170,8795
170,11634
170,11666
170,12654
170,15595
170,15843
170,20458
171,5769
172,1474
172,2470
172,4406
172,5681
172,15480
173,9086
173,17685
174,7397
174,8360
174,18331
174,25894
174,27641
175,3434
175,4478
175,7566
175,9601
175,10142
175,12337
175,19556
175,20071
175,21174
175,21599
175,22970
175,27643
175,30059
175,32907
175,34032
176,1415
176,22958
176,29327
177,6922
177,8257
177,8285
177,11110
177,23749
177,34333
178,7471
178,10109
178,31187
179,2644
179,3881
179,16930
179,18174
179,18784
179,19070
179,19570
180,6896
180,10226
180,15751
180,20455
180,25049
181,1696
181,6022
181,9092
181,12026
181,14929
181,16139
181,19530
181,20179
181,32234
181,33873
182,24640
183,0
183,299
183,1570
183,7381
183,7527
183,7620
183,7754
183,7970
183,8115
183,8224
183,8289
183,9129
183,9175
183,9737
183,12186
183,14729
183,15309
183,16564
183,16648
183,17130
183,18261
183,20876
183,22645
183,22771
183,24999
183,25932
183,28333
183,31306
183,31918
184,845
184,1494
184,4725
184,12870
184,14132
184,19743
184,19853
184,20612
184,21826
184,29425
184,30122
184,31491
184,32187
184,32693
184,34316
185,372
185,877
185,1346
185,5751
185,6086
185,6447
185,7894
185,15603
185,18749
185,28232
185,29780
185,30199
185,30686
186,9847
186,11316
186,31901
187,23583
187,26873
188,25093
188,27217
188,34237
189,3474
189,5632
189,8189
189,13943
189,17940
189,22938
190,6199
190,12024
190,21625
191,451
191,1328
191,2111
191,2182
191,2517
191,2566
191,3627
191,4365
191,4461
191,4722
191,4973
191,5142
191,5518
191,5530
191,5593
191,5594
191,5603
191,5804
191,6088
191,6270
191,6709
191,6710
191,6916
191,7638
191,8496
191,8605
191,9070
191,9143
191,9303
191,9654
191,9659
191,10863
191,10935
191,11615
191,11677
191,12117
191,12146
191,12764
191,12957
191,13567
191,13680
191,13713
191,13781
191,13840
191,13847
191,14032
191,14169
191,14288
191,14289
191,14823
191,15065
191,15077
191,15160
191,15322
191,15612
191,16287
191,17658
191,18524
191,19470
191,19553
191,19997
191,20069
191,20743
191,21211
191,21729
191,22102
191,22229
191,22246
191,22426
191,22504
191,23717
191,23953
191,24165
191,25744
191,25797
191,27872
191,28364
191,28522
191,28662
191,29916
191,30742
191,31064
191,31705
191,31795
191,31799
191,33217
191,33659
191,33694
191,33881
192,9082
192,9703
192,11075
192,17030
192,19136
192,24607
192,25151
192,25227
192,30552
193,7879
193,20491
193,27987
194,641
194,1354
194,2435
194,3215
194,3766
194,4651
194,4973
194,6710
194,6742
194,6885
194,6915
194,7195
194,8506
194,8605
194,9788
194,10249
194,10407
194,10595
194,10651
194,10805
194,10938
194,11239
194,12040
194,13826
194,14457
194,15240
194,15443
194,16217
194,16737
194,19532
194,19698
194,19761
194,20294
194,23315
194,23348
194,24061
194,25569
194,26077
194,26641
194,27166
194,28701
194,29854
194,32239
195,2802
195,4471
195,6901
195,13563
195,24309
195,26007
195,26975
195,31094
196,2511
196,3719
196,6064
196,6370
196,7138
196,7313
196,8166
196,9129
196,12100
196,12166
196,12613
196,13608
196,14313
196,15269
196,15592
196,17938
196,17976
196,19161
196,22498
196,30249
196,32019
196,33187
197,21384
197,30886
197,33681
198,14399
198,17589
198,25351
198,26326
198,27939
198,28678
199,2371
199,2497
199,2566
199,3560
199,3564
199,6553
199,10738
199,10861
199,11797
199,12619
199,14417
199,19322
199,30713
200,107
200,4672
200,16901
200,19918
200,22229
200,22960
200,25741
200,28753
201,1105
201,9740
201,18111
201,20518
201,22406
201,26969
201,31385
202,1059
202,1660
202,3657
202,4483
202,4780
202,5407
202,6475
202,7600
202,8771
202,9871
202,9932
202,10706
202,10851
202,11558
202,12095
202,12449
202,12588
202,12936
202,12954
202,13424
202,14011
202,15491
202,15757
202,15811
202,16253
202,17201
202,17309
202,17848
202,18988
202,19078
202,19333
202,19562
202,19815
202,20378
202,20471
202,21290
202,22010
202,23127
202,23410
202,23629
202,23714
202,23746
202,24055
202,24631
202,28528
202,28740
202,28854
202,29001
202,29056
202,29308
202,29549
202,30573
202,32109
202,32638
202,33044
202,34442
203,763
203,1674
203,4466
203,11290
203,13449
204,170
204,769
204,2691
204,3062
204,3895
204,6021
204,8795
204,9011
204,11588
204,13462
204,13491
204,15595
204,16801
204,17476
204,18090
204,19302
204,24211
204,27445
204,27601
204,29672
204,30179
204,30428
204,31708
204,32963
204,33649
204,33720
205,1838
205,2771
205,5804
205,6861
205,8004
205,8938
205,10935
205,11144
205,12897
205,13723
205,15722
205,17182
205,22964
205,23572
205,26134
205,26341
205,28662
205,29407
205,29591
205,29754
205,29991
205,30082
205,30847
205,34477
206,2924
206,5827
206,7942
206,8049
206,8780
206,9022
206,10419
206,10472
206,11824
206,12450
206,12712
206,14274
206,16525
206,16645
206,18307
206,19124
206,19930
206,22174
206,25670
206,28174
206,29596
206,31893
206,33554
207,276
207,597
207,5689
207,9701
207,13228
207,17423
207,18006
207,23381
208,3925
208,14825
209,1496
210,1205
210,2681
210,9612
210,10398
210,15413
210,16182
210,17915
210,18486
210,18982
210,20555
210,26507
210,26536
210,28429
210,28578
210,32941
211,2298
211,2515
211,17374
211,22343
212,140
213,17690
213,18018
213,27035
214,34
214,1278
214,5891
214,17570
214,18887
214,20463
214,20660
214,22493
214,23012
214,26538
214,29649
214,30353
214,30906
214,34281
215,19992
215,26900
216,1868
216,1995
216,7410
216,7473
216,7803
216,9891
216,9998
216,10233
216,11789
216,11931
216,14060
216,14161
216,16799
216,20979
216,21094
216,27013
216,34484
217,828
217,8869
218,1604
218,5528
218,11428
218,13179
218,13409
218,16140
218,18094
218,21729
218,27648
219,25301
219,28802
220,3922
220,12780
220,14332
221,1444
221,1659
221,1756
221,2915
221,3064
221,4630
221,5981
221,6056
221,6469
221,7140
221,10131
221,10317
221,11406
221,11635
221,11653
221,11765
221,12099
221,12623
221,12824
221,12933
221,13254
221,14192
221,14234
221,16929
221,16939
221,17591
221,18525
221,18696
221,19123
221,22854
221,23148
221,24043
221,24757
221,26105
221,26920
221,27394
221,28378
221,28594
221,29892
221,30017
221,30916
221,30987
221,33757
221,34475
222,4733
222,14093
222,30549
223,5495
223,12003
223,18605
223,20326
223,22982
224,577
224,3503
224,8308
224,10101
224,11407
224,15049
224,15722
224,15779
224,19556
224,29744
224,32714
224,32752
224,33877
225,5513
225,15456
225,26789
225,30835
225,32778
226,327
226,3130
226,3512
226,5186
226,5308
226,11784
226,14675
226,15832
226,17692
226,23209
226,26892
226,26930
226,27332
226,28039
227,18714
227,21075
227,21669
227,25908
227,27312
228,2983
228,7599
228,9380
228,11782
228,12670
228,14086
228,24255
228,24397
229,865
229,1061
229,2867
229,12871
229,20995
230,7286
230,11553
