node,soft_label,true_label,mask,run_split
131,0.30441722,0.30441722,0,val
132,0.13437775,0.13437775,0,val
133,0.40570948,0.40570948,0,val
134,0.34965563,0.34965563,0,val
135,0.18207167,0.18207167,0,val
136,0.5746909,0.5746909,0,val
137,0.21690367,0.21690367,0,val
138,0.21854419,0.21854419,0,val
139,0.26337516,0.26337516,0,val
140,0.25290337,0.25290337,0,val
141,0.17184526,0.17184526,0,val
142,0.4290111,0.4290111,0,val
143,0.1833169,0.1833169,0,val
144,0.2782034,0.2782034,0,val
145,0.18445565,0.18445565,0,val
146,0.39852154,0.39852154,0,val
147,0.30655417,0.30655417,0,val
148,0.061319947,0.061319947,0,val
149,0.17533568,0.17533568,0,val
150,0.4481677,0.4481677,0,val
151,0.25839284,0.25839284,0,val
152,0.35332286,0.35332286,0,val
153,0.15641375,0.15641375,0,val
154,0.25677523,0.25677523,0,val
155,0.26393008,0.26393008,0,val
156,0.37977368,0.37977368,0,val
157,0.17553832,0.17553832,0,val
158,0.17872517,0.17872517,0,val
159,0.10622715,0.10622715,0,val
160,0.05153282,0.05153282,0,val
161,0.43648788,0.43648788,0,val
162,0.17573105,0.17573105,0,val
163,0.19004491,0.19004491,0,val
164,0.3495505,0.3495505,0,val
165,0.08965156,0.08965156,0,val
166,0.37255022,0.37255022,0,val
167,0.09103583,0.09103583,0,val
168,0.0,0.0,0,val
169,0.15448005,0.15448005,0,val
170,0.3284328,0.3284328,0,val
171,0.39999065,0.39999065,0,val
172,0.19271767,0.19271767,0,val
173,0.13659152,0.13659152,0,val
174,0.18173763,0.18173763,0,val
175,0.026799655,0.026799655,0,val
176,0.32248443,0.32248443,0,val
177,0.08555792,0.08555792,0,val
178,0.35676727,0.35676727,0,val
179,0.35759553,0.35759553,0,val
180,0.3188513,0.3188513,0,val
181,0.13754791,0.13754791,0,val
182,0.13580917,0.13580917,0,val
183,0.19200961,0.19200961,0,val
184,0.18596177,0.18596177,0,val
185,0.42323568,0.42323568,0,val
186,0.2481715,0.2481715,0,val
187,0.23061022,0.23061022,0,val
188,0.20144431,0.20144431,0,val
189,0.26623031,0.26623031,0,val
190,0.15890545,0.15890545,0,val
191,0.14660648,0.14660648,0,val
192,0.047990378,0.047990378,0,val
193,0.33287686,0.33287686,0,val
194,0.17077957,0.17077957,0,val
